Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:57
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:04
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:10
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:18
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:27
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:34
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:40
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:47
Sensor,My Room,23.40,76.00,1,2023-01-27 21:57:55
Sensor,My Room,23.40,76.00,1,2023-01-27 21:58:02
Sensor,My Room,23.40,76.00,1,2023-01-27 21:58:08
Sensor,My Room,24.10,79.00,1,2023-01-28 23:43:34
Sensor,My Room,24.10,79.00,1,2023-01-28 23:43:41
Sensor,My Room,24.10,79.00,1,2023-01-28 23:43:47
Sensor,My Room,24.10,79.00,1,2023-01-28 23:43:53
Sensor,My Room,24.10,79.00,1,2023-01-28 23:43:59
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:06
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:12
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:18
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:25
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:31
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:37
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:44
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:50
Sensor,My Room,24.10,79.00,1,2023-01-28 23:44:56
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:03
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:09
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:15
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:22
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:28
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:34
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:41
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:47
Sensor,My Room,24.10,79.00,1,2023-01-28 23:45:53
Sensor,My Room,24.10,79.00,1,2023-01-28 23:46:00
Sensor,My Room,24.10,79.00,1,2023-01-28 23:46:06
Sensor,My Room,24.10,79.00,1,2023-01-28 23:46:41
